Neighbourhood,Neighbourhood Postal Code,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Postal Code,Venue formattedAddress,Venue Category,Venue Postal Code Prefix
Oude Westen,3014,51.91977199999999,4.4660891,Staal Rotterdam,51.92014350537927,4.480370571055765,981,3011 AA,"['Beursplein 37 (Coolsingel)', '3011 AA Rotterdam', 'Nederland']",Bistro,3011
Oude Westen,3014,51.91977199999999,4.4660891,Huis Sonneveld,51.91561,4.472333,631,3015 CG,"['Jongkindstraat 12', '3015 CG Rotterdam', 'Nederland']",Museum,3015
Oude Westen,3014,51.91977199999999,4.4660891,Arminius,51.91499492573677,4.473717063961222,746,3015 CB,"['Museumpark 3 (Westersingel)', '3015 CB Rotterdam', 'Nederland']",Performing Arts Venue,3015
Oude Westen,3014,51.91977199999999,4.4660891,Le Nord,51.927148849105734,4.4726759715782665,937,3033 CA,"['Proveniersstraat 33a', '3033 CA Rotterdam', 'Nederland']",French Restaurant,3033
Oude Westen,3014,51.91977199999999,4.4660891,Het Nieuwe Instituut,51.91461204938058,4.470966544496404,664,3015 CB,"['Museumpark 25', '3015 CB Rotterdam', 'Nederland']",Museum,3015
Dijkzigt,3015,51.9117502,4.4680441,Natuurhistorisch Museum Rotterdam,51.91079,4.47255,327,3015 AA,"['Westzeedijk 345', '3015 AA Rotterdam', 'Nederland']",Museum,3015
Dijkzigt,3015,51.9117502,4.4680441,Hotel Orion,51.91268729873533,4.461657393336214,450,3021 JM,"['Zwaerdecroonstraat 40', 'Rotterdam', 'Nederland']",Hotel,3021
Dijkzigt,3015,51.9117502,4.4680441,Hotel Breitner,51.91566989757951,4.469307301445345,444,3015 XA,"['Breitnerstraat', 'Rotterdam', 'Nederland']",Hotel,3015
Dijkzigt,3015,51.9117502,4.4680441,Bilderberg Parkhotel Rotterdam,51.915927997681884,4.473517188129288,597,3015 LB,"['Westersingel 70', '3015 LB Rotterdam', 'Nederland']",Hotel,3015
Dijkzigt,3015,51.9117502,4.4680441,"Brasserie, restaurant, bar, lounge Stroom",51.90405106937479,4.459737646020311,1029,3024 EA,"['Lloydstraat\xa01', '3024 EA Rotterdam', 'Nederland']",Bistro,3024
